Route 4,sum,OpenExtractionTime,TotalTime_DominanceCheck,TotalTime_check_COSTS,TotalUpdateTime,TotalTime_prune_g_cl,TotalTime_prune_open_gop,TotalTime_prune_COSTS,,,Route 4,algo relative to 1,OpenExtractionTime,TotalTime_DominanceCheck,TotalTime_check_COSTS,TotalUpdateTime,TotalTime_prune_g_cl,TotalTime_prune_open_gop,TotalTime_prune_COSTS,
35,0.61179221,0.0272935,0.139547,0.295437,0.102029,0.0456112,0,0.00187451,,,35,4,0.039806668,0.203524689,0.430885103,0.148805925,0.066522428,0,0.002733911,
50,32.1660257,0.604186,11.6791,12.8999,3.5371,3.41785,0,0.0278897,,,50,4,0.013719373,0.265199674,0.292920625,0.080317641,0.077609808,0,0.000633297,
6,2060.0452,12.0492,582.691,1146.6,167.29,149.882,0,1.533,,,6,4,0.003306168,0.159884001,0.314614427,0.045902536,0.041125972,0,0.000420638,
15,2.65134233,0.112076,0.750462,1.00051,0.550314,0.23554,0,0.00244033,,,15,4,0.033875368,0.226829799,0.302407694,0.166334357,0.0711928,0,0.000737598,
37,194.3439913,2.56509,50.6333,107.307,23.1596,10.5869,0,0.0921013,,,37,4,0.009788698,0.193222885,0.409496678,0.088379875,0.040400909,0,0.00035147,
1,73.274585,0.861083,18.3466,43.1378,5.57227,5.21206,0,0.144772,,,1,4,0.00847219,0.18051208,0.424432539,0.054825529,0.051281425,0,0.001424411,
17,453.368957,5.87706,157.934,190.738,67.8073,30.845,0,0.167597,,,17,4,0.008279337,0.222490298,0.268703094,0.095523867,0.043453045,0,0.000236103,
25,14.58546649,0.475907,3.5265,6.88648,2.80472,0.888085,0,0.00377449,,,25,4,0.026659817,0.197550878,0.385773478,0.15711751,0.049749602,0,0.000211443,
8,877.953743,7.31882,233.436,504.267,78.9865,53.4894,0,0.456023,,,8,4,0.005748131,0.183338396,0.396046466,0.06203524,0.042010062,0,0.000358156,
Route 3,,,,,,,,,,,Route 3,,,,,,,,,
35,0.81289824,0.00929483,0.19046,0.537926,0.0272313,0.0461077,0,0.00187841,,,35,3,0.013556202,0.277779617,0.784547298,0.039715951,0.067246557,0,0.002739599,
50,45.5318714,0.237898,15.8921,24.7869,1.17346,3.41362,0,0.0278934,,,50,3,0.005401998,0.360865112,0.562841126,0.026645992,0.077513756,0,0.000633381,
6,3303.25039,5.83148,877.255,2209.53,65.0203,144.089,0,1.52461,,,6,3,0.001600094,0.240709122,0.606270727,0.017840855,0.039536437,0,0.000418336,
15,3.43676464,0.0522767,1.0092,1.87912,0.258399,0.23533,0,0.00243894,,,15,3,0.015800818,0.305034277,0.56797068,0.078102014,0.071129327,0,0.000737178,
37,290.8557713,1.03026,71.1482,200.815,7.2187,10.5517,0,0.0919113,,,37,3,0.003931599,0.271510261,0.766334678,0.027547445,0.040266582,0,0.000350745,
1,110.04026,0.313151,25.5189,77.1277,1.73758,5.19844,0,0.144489,,,1,3,0.003081091,0.251080294,0.758858949,0.017096039,0.051147418,0,0.001421626,
17,646.56268,2.52108,230.7,360.773,21.7135,30.6876,0,0.1675,,,17,3,0.003551584,0.324999758,0.508240735,0.030589,0.043231307,0,0.000235966,
25,20.1934242,0.182054,4.62009,13.5407,0.959405,0.887409,0,0.0037662,,,25,3,0.010198477,0.258812657,0.758535991,0.053744875,0.049711733,0,0.000210979,
8,1357.190057,3.35622,359.514,912.167,29.3835,52.3139,0,0.455437,,,8,3,0.002635943,0.282358848,0.716407215,0.023077519,0.041086835,0,0.000357696,
Route 2,,,,,,,,,,,Route 2,,,,,,,,,
35,0.92539084,0.0100371,0.212528,0.595271,0.0450492,0.0606309,0,0.00187464,,,35,2,0.014638779,0.309965066,0.868183085,0.06570277,0.088428164,0,0.002734101,
50,55.3250279,0.312593,20.309,27.6239,1.86004,5.1916,0,0.0278949,,,50,2,0.007098112,0.461160549,0.627261456,0.042236303,0.117886706,0,0.000633415,
6,3873.59955,6.81654,1120.33,2322.3,68.3359,354.295,0,1.52211,,,6,2,0.001870384,0.307406228,0.637213574,0.018750619,0.097214651,0,0.00041765,
15,3.97013739,0.0582435,1.14543,2.09175,0.340531,0.331742,0,0.00244089,,,15,2,0.017604304,0.346210277,0.632238851,0.102926702,0.100270195,0,0.000737768,
37,334.713323,1.11708,92.7607,209.926,9.98484,20.8326,0,0.092103,,,37,2,0.004262914,0.353986212,0.801103372,0.038103375,0.079499758,0,0.000351476,
1,133.84675,0.361493,33.0854,88.8581,2.77717,8.61996,0,0.144627,,,1,2,0.003556727,0.32552704,0.87427428,0.027324558,0.084811731,0,0.001422984,
17,769.64159,2.92307,294.101,377.123,27.7081,67.6172,0,0.16922,,,17,2,0.004117889,0.414316228,0.531273878,0.039033922,0.095256062,0,0.00023839,
25,24.0604683,0.22337,6.31408,14.8034,1.38623,1.32961,0,0.0037783,,,25,2,0.012512956,0.353708223,0.829271137,0.077655169,0.074483375,0,0.000211656,
8,1559.449583,3.97459,436.634,959.194,33.958,125.23,0,0.458993,,,8,2,0.003121605,0.342928157,0.75334177,0.026670288,0.098354441,0,0.000360489,
Route 1,,,,,,,,,,,Route 1,,,,,,,,,
35,0.68565146,0.00922278,0.209582,0.318866,0.0420017,0.0607537,0.0433003,0.00192498,,,35,1,0.01345112,0.305668422,0.465055525,0.061258092,0.088607264,0.063152057,0.00280752,
50,44.0388928,0.267301,19.4749,14.1721,1.56427,5.22823,3.30321,0.0288818,,,50,1,0.006069658,0.442220473,0.321808726,0.035520194,0.118718471,0.075006654,0.000655825,
6,3644.46097,5.34636,1090.55,1295.08,55.9081,359.813,835.51,2.25351,,,6,1,0.001466982,0.299234924,0.355355706,0.015340568,0.098728729,0.229254753,0.000618338,
15,3.30848064,0.0568675,1.12282,1.0665,0.345596,0.330593,0.383519,0.00258514,,,15,1,0.017188403,0.339376325,0.322353405,0.104457616,0.099922906,0.115919977,0.000781368,
37,262.046082,0.937041,85.8876,115.633,6.97829,21.6772,30.8313,0.101651,,,37,1,0.003575863,0.327757619,0.441269715,0.026630011,0.082722855,0.117656024,0.000387913,
1,101.636411,0.285086,31.142,47.426,1.79646,8.71526,12.1208,0.150805,,,1,1,0.002804959,0.30640594,0.466624112,0.017675358,0.085749388,0.119256474,0.001483769,
17,709.846683,2.69718,278.544,202.884,22.5929,68.7835,134.15,0.195103,,,17,1,0.003799666,0.392400228,0.285813831,0.031827859,0.096899093,0.188984471,0.000274852,
25,17.85109759,0.216106,6.09534,7.59236,1.33404,1.3351,1.2741,0.00405159,,,25,1,0.012106034,0.341454634,0.425316144,0.074731539,0.074790919,0.071373763,0.000226966,
8,1273.252113,3.56435,413.058,521.739,26.175,128.373,179.792,0.550763,,,8,1,0.002799406,0.324411792,0.409768808,0.020557594,0.100822923,0.141206913,0.000432564,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
