Route,NumObj,FileType,NumNodes,NumEdges,MOSP_File,Runtime,LabelsProcessed,Wrapper_SequentialTime,NumSolutions
1,2,pkl,471,4394,NAMOA_pqfifo_simple_flexmem_algo_1_2.cpp,0.000714729,62,0.000811274,4
1,2,pkl,471,4394,NAMOA_pqfifo_simple_flexmem_algo_2_2.cpp,0.000675496,390,0.00077217,4
1,2,pkl,471,4394,NAMOA_pqfifo_simple_flexmem_algo_3_4.cpp,0.000748873,931,0.000839979,4
1,2,pkl,471,4394,NAMOA_pqfifo_simple_flexmem_algo_4_4.cpp,0.000955724,1299,0.00104366,4
1,3,pkl,471,4394,NAMOA_pqfifo_simple_flexmem_algo_1_2.cpp,0.0522513,5340,0.0523581,159
1,3,pkl,471,4394,NAMOA_pqfifo_simple_flexmem_algo_2_2.cpp,0.0530458,8289,0.0531523,159
1,3,pkl,471,4394,NAMOA_pqfifo_simple_flexmem_algo_3_4.cpp,0.0624295,32481,0.0625336,159
1,3,pkl,471,4394,NAMOA_pqfifo_simple_flexmem_algo_4_4.cpp,0.0841159,67114,0.084465,159
1,12,pkl,471,4394,NAMOA_pqfifo_simple_flexmem_algo_1_2.cpp,507,562639,507.001,47976
1,12,pkl,471,4394,NAMOA_pqfifo_simple_flexmem_algo_2_2.cpp,429.669,846401,429.669,47976
1,12,pkl,471,4394,NAMOA_pqfifo_simple_flexmem_algo_3_4.cpp,486.394,2143881,486.394,47976
1,12,pkl,471,4394,NAMOA_pqfifo_simple_flexmem_algo_4_4.cpp,420.731,5869746,420.732,47976
2,2,pkl,1611,10019,NAMOA_pqfifo_simple_flexmem_algo_1_2.cpp,0.0369744,10874,0.0370813,23
2,2,pkl,1611,10019,NAMOA_pqfifo_simple_flexmem_algo_2_2.cpp,0.0374949,12921,0.0376029,23
2,2,pkl,1611,10019,NAMOA_pqfifo_simple_flexmem_algo_3_4.cpp,0.040941,37515,0.0411483,23
2,2,pkl,1611,10019,NAMOA_pqfifo_simple_flexmem_algo_4_4.cpp,0.057766,65012,0.0580231,23
2,3,pkl,1611,10019,NAMOA_pqfifo_simple_flexmem_algo_1_2.cpp,83.2367,865750,83.2369,3454
2,3,pkl,1611,10019,NAMOA_pqfifo_simple_flexmem_algo_2_2.cpp,91.8385,1068140,91.8392,3454
2,3,pkl,1611,10019,NAMOA_pqfifo_simple_flexmem_algo_3_4.cpp,66.6591,2896507,66.6727,3454
2,3,pkl,1611,10019,NAMOA_pqfifo_simple_flexmem_algo_4_4.cpp,53.7636,4782604,53.805,3454
2,4,pkl,1611,10019,NAMOA_pqfifo_simple_flexmem_algo_1_2.cpp,timeout 30m,,,
2,4,pkl,1611,10019,NAMOA_pqfifo_simple_flexmem_algo_2_2.cpp,timeout 30m,,,
2,4,pkl,1611,10019,NAMOA_pqfifo_simple_flexmem_algo_3_4.cpp,timeout 30m,,,
2,4,pkl,1611,10019,NAMOA_pqfifo_simple_flexmem_algo_4_4.cpp,timeout 30m,,,
2,12,pkl,1611,10019,NAMOA_pqfifo_simple_flexmem_algo_1_2.cpp,timeout 30m,,,
2,12,pkl,1611,10019,NAMOA_pqfifo_simple_flexmem_algo_2_2.cpp,timeout 30m,,,
